Date,Details,Note,Debit/Credit,Amount,Balance
2025-04-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/APR25,SAL CREDIT,Credit,151200,351200
2025-04-10,UPI/DR/ZOMATO/ORDER123456,,Debit,450,350750
2025-04-12,NEFT/RENT/RAMESH KUMAR LANDLORD/APR,RENT HSR LAYOUT,Debit,18000,332750
2025-04-15,UPI/DR/ZERODHA BROKING/EQUITY PURCHASE,,Debit,100000,232750
2025-04-20,UPI/DR/AMAZON/AMZN MKTP,,Debit,3200,229550
2025-04-25,UPI/CR/INTEREST/SBI FD MATURITY,,Credit,32000,261550
2025-05-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/MAY25,SAL CREDIT,Credit,151200,412750
2025-05-08,UPI/DR/SWIGGY/FOOD ORDER,,Debit,680,412070
2025-05-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,402070
2025-05-12,NEFT/RENT/RAMESH KUMAR LANDLORD/MAY,RENT,Debit,18000,384070
2025-05-20,UPI/DR/NETFLIX/SUBSCRIPTION,,Debit,649,383421
2025-06-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/JUN25,SAL CREDIT,Credit,151200,534621
2025-06-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,524621
2025-06-12,NEFT/RENT/RAMESH KUMAR LANDLORD/JUN,RENT,Debit,18000,506621
2025-06-18,UPI/DR/FLIPKART/ELECTRONICS,,Debit,12999,493622
2025-06-25,UPI/DR/WAZIRX/CRYPTO PURCHASE,,Debit,50000,443622
2025-07-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/JUL25,SAL CREDIT,Credit,151200,594822
2025-07-10,UPI/CR/ZERODHA/EQUITY SALE PROCEEDS,,Credit,85000,679822
2025-07-12,NEFT/RENT/RAMESH KUMAR LANDLORD/JUL,RENT,Debit,18000,661822
2025-07-15,UPI/DR/IRCTC/TRAIN TICKET,,Debit,1250,660572
2025-07-20,UPI/DR/GROWW/SIP ELSS,,Debit,10000,650572
2025-08-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/AUG25,SAL CREDIT,Credit,151200,801772
2025-08-10,UPI/CR/WAZIRX/CRYPTO SELL,,Credit,78000,879772
2025-08-12,NEFT/RENT/RAMESH KUMAR LANDLORD/AUG,RENT,Debit,18000,861772
2025-08-15,NEFT/CR/WISE/UPWORK GLOBAL INC/USD WIRE,FREELANCE PAYMENT,Credit,85000,946772
2025-08-20,UPI/DR/CROMA/ELECTRONICS,,Debit,25000,921772
2025-09-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/SEP25,SAL CREDIT,Credit,151200,1072972
2025-09-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,1062972
2025-09-12,NEFT/RENT/RAMESH KUMAR LANDLORD/SEP,RENT,Debit,18000,1044972
2025-09-20,UPI/CR/WAZIRX/CRYPTO SELL,,Credit,50000,1094972
2025-09-25,UPI/DR/UBER/CAB,,Debit,350,1094622
2025-10-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/OCT25,SAL CREDIT,Credit,151200,1245822
2025-10-08,UPI/DR/DECATHLON/SPORTS,,Debit,4500,1241322
2025-10-10,UPI/DR/GROWW/ELSS REDEMPTION/MIRAE ASSET,,Credit,120000,1361322
2025-10-12,NEFT/RENT/RAMESH KUMAR LANDLORD/OCT,RENT,Debit,18000,1343322
2025-11-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/NOV25,SAL CREDIT,Credit,151200,1494522
2025-11-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,1484522
2025-11-12,NEFT/RENT/RAMESH KUMAR LANDLORD/NOV,RENT,Debit,18000,1466522
2025-11-15,CASH/DEPOSIT/BRANCH,,Credit,75000,1541522
2025-11-20,UPI/DR/BIGBASKET/GROCERY,,Debit,2800,1538722
2025-12-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/DEC25,SAL CREDIT,Credit,151200,1689922
2025-12-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,1679922
2025-12-12,NEFT/RENT/RAMESH KUMAR LANDLORD/DEC,RENT,Debit,18000,1661922
2025-12-25,UPI/CR/RAHUL VERMA/PERSONAL,,Credit,45000,1706922
2026-01-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/JAN26,SAL CREDIT,Credit,151200,1858122
2026-01-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,1848122
2026-01-12,NEFT/RENT/RAMESH KUMAR LANDLORD/JAN,RENT,Debit,18000,1830122
2026-01-20,UPI/DR/TANISHQ/GOLD,,Debit,52000,1778122
2026-02-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/FEB26,SAL CREDIT,Credit,151200,1929322
2026-02-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,1919322
2026-02-12,NEFT/RENT/RAMESH KUMAR LANDLORD/FEB,RENT,Debit,18000,1901322
2026-03-05,NEFT/SALARY/TECHCORP INDIA PVT LTD/MAR26,SAL CREDIT,Credit,151200,2052522
2026-03-10,UPI/DR/GROWW/SIP ELSS,,Debit,10000,2042522
2026-03-12,NEFT/RENT/RAMESH KUMAR LANDLORD/MAR,RENT,Debit,18000,2024522
2026-03-25,INT/SAVINGS ACCOUNT/HDFC/Q4 INTEREST,,Credit,14200,2038722
